g_advertiser_id,pod,pod_channel,pod_sub_channel,pod_sector,ultimate_parent_name,legal_entity_name,advertiser_account_name,sfdc_ultimate_parent_account_id,sfdc_legal_entity_account_id,sfdc_account_id,service_model_tier,"Eligible for Avatria
form for service request",primary_msot,sentiment,last_28d_spend,last_90d_spend,last_365d_spend,cpc_spend_90d,ocpm_spend_90d,lower_funnel_spend_90d,catalog_sales_spend_90d,conversion_spend_90d,shopping_conversion_spend_90d,consideration_spend_90d,awareness_vc_spend_90d,awareness_spend_90d,creative_count_90d,high_impact_spend_365d,web_eqs_score,web_eqs_status,web blocker,web resolution timing,app_eqs_score,app_eqs_status,app blocker,app resolution timing,offline_eqs_score,offline_eqs_status,offline blocker,offline resolution timing,Notes,,,,pplus_campaigns_revenue,pplus_campaigns_eligible_spend,pplus_campaigns_pct_rev,full_pplus_feature_adoption_pct_rev,pplus_bidding_pct_rev,pplus_budgets_pct_rev,pplus_targeting_pct_rev,pplus_creative_pct_rev,pplus_roas_bidding_pct_rev,dt
549767631708,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",AE_DPA_1,AE_DPA_1,0013m000031ToiP,001Pr000008nqSTIAY,001Pr000008np8JIAQ,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,7909.100001,168719.2746,1057215.791,0,168719.2746,168719.2746,168719.2746,0,168719.2746,0,0,0,1,0.00E+00,4.6,NEEDS IMPROVEMENT,,,2.4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,14001.29578,14001.29578,1,1,1,1,0.04315657281,0.9523918899,0,2026-02-03
549769748920,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",au-nondpa-2,au-nondpa-2,0013m000031ToiP,001PW00001BpQGbYAN,001PW00001BopmgYAB,2_tier1,No,None,None,25916.88723,33442.18227,33442.18227,0,33442.18227,33442.18227,1816.723547,31625.45872,33442.18227,0,0,0,3,0,4.8,NEEDS IMPROVEMENT,,,3.3,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,null,null,null,null,null,null,null,null,null,2026-02-03
549766967559,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",au-pin-1,au-pin-1,0013m000031ToiP,001Pr0000040EVJIA2,001Pr0000040JLKIA2,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,267825.2392,1030513.01,4026224.589,0,1030513.01,1030513.01,1030513.01,0,1030513.01,0,0,0,1,0,5.9,NEEDS IMPROVEMENT,,,3.4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,1212.070069,1359.923906,0.8912778604,1,1,1,0,1,0,2026-02-03
549768197257,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",D_nonDPA,D_非DPA,0013m000031ToiP,001Pr00000F9GkwIAF,001Pr00000F9KerIAF,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,942.183988,15635.63377,223755.1339,0,15635.63377,1.56E+04,0.00E+00,1.56E+04,1.56E+04,0,0,0,2,0,2.9,NEEDS IMPROVEMENT,,,0,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,2683.294138,2683.294138,1,1,1,1,0,1,0,2026-02-03
549768022717,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",FI_DPA_1,FI_DPA_1,0013m000031ToiP,001Pr00000DvJZhIAN,001Pr00000DvOmFIAV,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,42150.11308,138704.9973,555242.9531,0,138704.9973,138704.9973,138704.9973,0,138704.9973,0,0,0,1,0,5.9,NEEDS IMPROVEMENT,,,3.4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,15272.14844,0,0,1,1,0,0,0,2026-02-03
549767631762,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",IL_DPA_1,IL_DPA_1,0013m000031ToiP,001Pr000008nqSUIAY,001Pr000008np8KIAQ,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,9360.021263,212619.2306,992801.1694,0,212619.2306,212619.2306,212619.2306,0,212619.2306,0,0,0,1,0,4.8,NEEDS IMPROVEMENT,,,3.9,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,9676.653066,0,1,1,1,0.6791762239,0,0,2026-02-03
549767400192,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",PIN-PT-DPA,PIN-PT-DPA-1,0013m000031ToiP,001Pr000006bE0ZIAU,001Pr000006bJWUIA2,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,75269.29241,281569.7513,954607.989,0,281569.7513,281569.7513,2.82E+05,0,281569.7513,0,0.00E+00,0.00E+00,1,0,5.9,NEEDS IMPROVEMENT,,,3.4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,null,null,null,null,null,null,null,null,null,2026-02-03
549767034414,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",PinterestCA-DPA-1,PIN-CA-DPA-2,0013m000031ToiP,001Pr000004JalRIAS,001Pr000004TeivIAC,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,250266.2911,918273.3529,5608827.736,0,918273.3529,918273.3529,918273.3529,0,918273.3529,0,0.00E+00,0.00E+00,1,0,5.9,NEEDS IMPROVEMENT,,,3.4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,4627.999201,4627.999201,1,1,1,1,0.2001257924,0.7998742076,0,2026-02-03
549767034411,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",PinterestCA-DPA-1,PIN-CA-DPA-1,0013m000031ToiP,001Pr000004JalRIAS,001Pr000004TeixIAC,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,43397.80367,224107.6172,659639.0633,0,224107.6172,224107.6172,0,224107.6172,224107.6172,0,0,0,1,0.00E+00,4.8,NEEDS IMPROVEMENT,,,3.4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,8616.020002,0,1,1,1,0,0,0,2026-02-03
549767631752,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",SA_DPA_1,SA_DPA_1,0013m000031ToiP,001Pr000008nqSSIAY,001Pr000008np8IIAQ,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,28262.94164,343165.6935,2149264.421,0.00E+00,343165.6935,343165.6935,343165.6935,0,343165.6935,0.00E+00,0,0,1,0,4.8,NEEDS IMPROVEMENT,,,3.3,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,358.8361928,0,0,1,0,1,0,0,2026-02-03
